REF_DATE,GEO,Age group,Sex,Indicators,Characteristics,UOM,VALUE
2015,Canada,"Total, 12 years and over",Both sexes,Contact with a medical doctor in the past 12 months,"High 95% confidence interval, number of persons",Number,21588300
2015,Canada,"Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,"Low 95% confidence interval, number of persons",Number,9524800
2015,Canada,"Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,"High 95% confidence interval, number of persons",Number,9916400
2015,Canada,"Total, 12 years and over",Both sexes,Influenza immunization in the past 12 months,Statistically different from previous reference period,Number,0
2015,Canada,12 to 17 years,Both sexes,"Perceived health, very good or excellent","Low 95% confidence interval, number of persons",Number,1582200
2015,Canada,12 to 17 years,Both sexes,"Perceived health, very good or excellent","High 95% confidence interval, number of persons",Number,1668800
2015,Canada,12 to 17 years,Both sexes,"Perceived health, fair or poor","Low 95% confidence interval, number of persons",Number,58100
2015,Canada,12 to 17 years,Both sexes,"Perceived health, fair or poor","High 95% confidence interval, number of persons",Number,94600
2015,Canada,12 to 17 years,Both sexes,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,1621200
2015,Canada,12 to 17 years,Both sexes,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,1707400
2015,Canada,12 to 17 years,Both sexes,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,71100
2015,Canada,12 to 17 years,Both sexes,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,105900
2015,Canada,12 to 17 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,239000
2015,Canada,12 to 17 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,301000
2015,Canada,12 to 17 years,Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","Low 95% confidence interval, number of persons",Number,401800
2015,Canada,12 to 17 years,Both sexes,"Body mass index, self-reported, youth (12 to 17 years old), overweight or obese","High 95% confidence interval, number of persons",Number,472300
2015,Canada,12 to 17 years,Both sexes,Arthritis (15 years and over),"Low 95% confidence interval, number of persons",Number,3300
2015,Canada,12 to 17 years,Both sexes,Arthritis (15 years and over),"High 95% confidence interval, number of persons",Number,12700
2015,Canada,12 to 17 years,Both sexes,Diabetes,"Low 95% confidence interval, number of persons",Number,5600
2015,Canada,12 to 17 years,Both sexes,Diabetes,"High 95% confidence interval, number of persons",Number,18300
2015,Canada,12 to 17 years,Both sexes,Asthma,"Low 95% confidence interval, number of persons",Number,205000
2015,Canada,12 to 17 years,Both sexes,Asthma,"High 95% confidence interval, number of persons",Number,268000
2015,Canada,12 to 17 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Low 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"High 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,High blood pressure,"Low 95% confidence interval, number of persons",Number,10200
2015,Canada,12 to 17 years,Both sexes,High blood pressure,"High 95% confidence interval, number of persons",Number,28500
2015,Canada,12 to 17 years,Both sexes,Mood disorder,"Low 95% confidence interval, number of persons",Number,94700
2015,Canada,12 to 17 years,Both sexes,Mood disorder,"High 95% confidence interval, number of persons",Number,141700
2015,Canada,12 to 17 years,Both sexes,"Current smoker, daily or occasional","Low 95% confidence interval, number of persons",Number,71200
2015,Canada,12 to 17 years,Both sexes,"Current smoker, daily or occasional","High 95% confidence interval, number of persons",Number,113100
2015,Canada,12 to 17 years,Both sexes,"Current smoker, daily","Low 95% confidence interval, number of persons",Number,24600
2015,Canada,12 to 17 years,Both sexes,"Current smoker, daily","High 95% confidence interval, number of persons",Number,49400
2015,Canada,12 to 17 years,Both sexes,Heavy drinking,"Low 95% confidence interval, number of persons",Number,71000
2015,Canada,12 to 17 years,Both sexes,Heavy drinking,"High 95% confidence interval, number of persons",Number,110300
2015,Canada,12 to 17 years,Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","Low 95% confidence interval, number of persons",Number,1093300
2015,Canada,12 to 17 years,Both sexes,"Self-reported physical activity, average 60 minutes per day, youth (12 to 17 years old)","High 95% confidence interval, number of persons",Number,1187900
2015,Canada,12 to 17 years,Both sexes,Breast milk feeding initiation,"Low 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,Breast milk feeding initiation,"High 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,"Exclusive breastfeeding, at least 6 months","Low 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,"Exclusive breastfeeding, at least 6 months","High 95% confidence interval, number of persons",Number,
2015,Canada,12 to 17 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","Low 95% confidence interval, number of persons",Number,564600
2015,Canada,12 to 17 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","High 95% confidence interval, number of persons",Number,646900
2015,Canada,12 to 17 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,1718600
2015,Canada,12 to 17 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,1804400
2015,Canada,12 to 17 years,Both sexes,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,2048400
2015,Canada,12 to 17 years,Both sexes,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,2107900
2015,Canada,12 to 17 years,Both sexes,Has a regular healthcare provider,"Low 95% confidence interval, number of persons",Number,1761300
2015,Canada,12 to 17 years,Both sexes,Has a regular healthcare provider,"High 95% confidence interval, number of persons",Number,1835500
2015,Canada,12 to 17 years,Both sexes,Contact with a medical doctor in the past 12 months,"Low 95% confidence interval, number of persons",Number,1218900
2015,Canada,12 to 17 years,Both sexes,Contact with a medical doctor in the past 12 months,"High 95% confidence interval, number of persons",Number,1314600
2015,Canada,12 to 17 years,Both sexes,Influenza immunization in the past 12 months,"Low 95% confidence interval, number of persons",Number,484600
2015,Canada,12 to 17 years,Both sexes,Influenza immunization in the past 12 months,"High 95% confidence interval, number of persons",Number,565600
2015,Canada,12 to 17 years,Both sexes,Influenza immunization in the past 12 months,Statistically different from previous reference period,Number,0
2015,Canada,18 to 34 years,Both sexes,"Perceived health, very good or excellent","Low 95% confidence interval, number of persons",Number,5630300
2015,Canada,18 to 34 years,Both sexes,"Perceived health, very good or excellent","High 95% confidence interval, number of persons",Number,5856000
2015,Canada,18 to 34 years,Both sexes,"Perceived health, fair or poor","Low 95% confidence interval, number of persons",Number,407300
2015,Canada,18 to 34 years,Both sexes,"Perceived health, fair or poor","High 95% confidence interval, number of persons",Number,521900
2015,Canada,18 to 34 years,Both sexes,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,5678200
2015,Canada,18 to 34 years,Both sexes,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,5917500
2015,Canada,18 to 34 years,Both sexes,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,439300
2015,Canada,18 to 34 years,Both sexes,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,555200
2015,Canada,18 to 34 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,1683500
2015,Canada,18 to 34 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,1896500
2015,Canada,18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","Low 95% confidence interval, number of persons",Number,2150800
2015,Canada,18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","High 95% confidence interval, number of persons",Number,2381200
2015,Canada,18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Low 95% confidence interval, number of persons",Number,1228600
2015,Canada,18 to 34 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","High 95% confidence interval, number of persons",Number,1399000
2015,Canada,18 to 34 years,Both sexes,Arthritis (15 years and over),"Low 95% confidence interval, number of persons",Number,213600
2015,Canada,18 to 34 years,Both sexes,Arthritis (15 years and over),"High 95% confidence interval, number of persons",Number,291800
2015,Canada,18 to 34 years,Both sexes,Diabetes,"Low 95% confidence interval, number of persons",Number,52800
2015,Canada,18 to 34 years,Both sexes,Diabetes,"High 95% confidence interval, number of persons",Number,92300
2015,Canada,18 to 34 years,Both sexes,Asthma,"Low 95% confidence interval, number of persons",Number,680200
2015,Canada,18 to 34 years,Both sexes,Asthma,"High 95% confidence interval, number of persons",Number,832400
2015,Canada,18 to 34 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Low 95% confidence interval, number of persons",Number,
2015,Canada,18 to 34 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"High 95% confidence interval, number of persons",Number,
2015,Canada,18 to 34 years,Both sexes,High blood pressure,"Low 95% confidence interval, number of persons",Number,154200
2015,Canada,18 to 34 years,Both sexes,High blood pressure,"High 95% confidence interval, number of persons",Number,220600
2015,Canada,18 to 34 years,Both sexes,Mood disorder,"Low 95% confidence interval, number of persons",Number,563800
2015,Canada,18 to 34 years,Both sexes,Mood disorder,"High 95% confidence interval, number of persons",Number,691700
2015,Canada,18 to 34 years,Both sexes,"Current smoker, daily or occasional","Low 95% confidence interval, number of persons",Number,1686900
2015,Canada,18 to 34 years,Both sexes,"Current smoker, daily or occasional","High 95% confidence interval, number of persons",Number,1892100
2015,Canada,18 to 34 years,Both sexes,"Current smoker, daily","Low 95% confidence interval, number of persons",Number,1019400
2015,Canada,18 to 34 years,Both sexes,"Current smoker, daily","High 95% confidence interval, number of persons",Number,1175400
2015,Canada,18 to 34 years,Both sexes,Heavy drinking,"Low 95% confidence interval, number of persons",Number,2352800
2015,Canada,18 to 34 years,Both sexes,Heavy drinking,"High 95% confidence interval, number of persons",Number,2585100
2015,Canada,18 to 34 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, number of persons",Number,5231300
2015,Canada,18 to 34 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, number of persons",Number,5459300
2015,Canada,18 to 34 years,Both sexes,Breast milk feeding initiation,"Low 95% confidence interval, number of persons",Number,746700
2015,Canada,18 to 34 years,Both sexes,Breast milk feeding initiation,"High 95% confidence interval, number of persons",Number,878700
2015,Canada,18 to 34 years,Both sexes,"Exclusive breastfeeding, at least 6 months","Low 95% confidence interval, number of persons",Number,210200
2015,Canada,18 to 34 years,Both sexes,"Exclusive breastfeeding, at least 6 months","High 95% confidence interval, number of persons",Number,291400
2015,Canada,18 to 34 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","Low 95% confidence interval, number of persons",Number,2322700
2015,Canada,18 to 34 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","High 95% confidence interval, number of persons",Number,2548500
2015,Canada,18 to 34 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,4814800
2015,Canada,18 to 34 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,5058700
2015,Canada,18 to 34 years,Both sexes,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,7595100
2015,Canada,18 to 34 years,Both sexes,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,7712400
2015,Canada,18 to 34 years,Both sexes,Has a regular healthcare provider,"Low 95% confidence interval, number of persons",Number,5601300
2015,Canada,18 to 34 years,Both sexes,Has a regular healthcare provider,"High 95% confidence interval, number of persons",Number,5828000
2015,Canada,18 to 34 years,Both sexes,Contact with a medical doctor in the past 12 months,"Low 95% confidence interval, number of persons",Number,4855100
2015,Canada,18 to 34 years,Both sexes,Contact with a medical doctor in the past 12 months,"High 95% confidence interval, number of persons",Number,5111600
2015,Canada,18 to 34 years,Both sexes,Influenza immunization in the past 12 months,"Low 95% confidence interval, number of persons",Number,1504400
2015,Canada,18 to 34 years,Both sexes,Influenza immunization in the past 12 months,"High 95% confidence interval, number of persons",Number,1700000
2015,Canada,18 to 34 years,Both sexes,Influenza immunization in the past 12 months,Statistically different from previous reference period,Number,0
2015,Canada,35 to 49 years,Both sexes,"Perceived health, very good or excellent","Low 95% confidence interval, number of persons",Number,4407700
2015,Canada,35 to 49 years,Both sexes,"Perceived health, very good or excellent","High 95% confidence interval, number of persons",Number,4611400
2015,Canada,35 to 49 years,Both sexes,"Perceived health, fair or poor","Low 95% confidence interval, number of persons",Number,525800
2015,Canada,35 to 49 years,Both sexes,"Perceived health, fair or poor","High 95% confidence interval, number of persons",Number,643900
2015,Canada,35 to 49 years,Both sexes,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,4931900
2015,Canada,35 to 49 years,Both sexes,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,5136900
2015,Canada,35 to 49 years,Both sexes,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,383500
2015,Canada,35 to 49 years,Both sexes,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,494800
2015,Canada,35 to 49 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,1914100
2015,Canada,35 to 49 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,2104400
2015,Canada,35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","Low 95% confidence interval, number of persons",Number,2333000
2015,Canada,35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","High 95% confidence interval, number of persons",Number,2552000
2015,Canada,35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Low 95% confidence interval, number of persons",Number,1853300
2015,Canada,35 to 49 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","High 95% confidence interval, number of persons",Number,2047600
2015,Canada,35 to 49 years,Both sexes,Arthritis (15 years and over),"Low 95% confidence interval, number of persons",Number,807900
2015,Canada,35 to 49 years,Both sexes,Arthritis (15 years and over),"High 95% confidence interval, number of persons",Number,951500
2015,Canada,35 to 49 years,Both sexes,Diabetes,"Low 95% confidence interval, number of persons",Number,254000
2015,Canada,35 to 49 years,Both sexes,Diabetes,"High 95% confidence interval, number of persons",Number,360800
2015,Canada,35 to 49 years,Both sexes,Asthma,"Low 95% confidence interval, number of persons",Number,497800
2015,Canada,35 to 49 years,Both sexes,Asthma,"High 95% confidence interval, number of persons",Number,623300
2015,Canada,35 to 49 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Low 95% confidence interval, number of persons",Number,87900
2015,Canada,35 to 49 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"High 95% confidence interval, number of persons",Number,129700
2015,Canada,35 to 49 years,Both sexes,High blood pressure,"Low 95% confidence interval, number of persons",Number,602600
2015,Canada,35 to 49 years,Both sexes,High blood pressure,"High 95% confidence interval, number of persons",Number,738400
2015,Canada,35 to 49 years,Both sexes,Mood disorder,"Low 95% confidence interval, number of persons",Number,571900
2015,Canada,35 to 49 years,Both sexes,Mood disorder,"High 95% confidence interval, number of persons",Number,693500
2015,Canada,35 to 49 years,Both sexes,"Current smoker, daily or occasional","Low 95% confidence interval, number of persons",Number,1291600
2015,Canada,35 to 49 years,Both sexes,"Current smoker, daily or occasional","High 95% confidence interval, number of persons",Number,1443300
2015,Canada,35 to 49 years,Both sexes,"Current smoker, daily","Low 95% confidence interval, number of persons",Number,926000
2015,Canada,35 to 49 years,Both sexes,"Current smoker, daily","High 95% confidence interval, number of persons",Number,1062900
2015,Canada,35 to 49 years,Both sexes,Heavy drinking,"Low 95% confidence interval, number of persons",Number,1371200
2015,Canada,35 to 49 years,Both sexes,Heavy drinking,"High 95% confidence interval, number of persons",Number,1547300
2015,Canada,35 to 49 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","Low 95% confidence interval, number of persons",Number,4006400
2015,Canada,35 to 49 years,Both sexes,"Self-reported physical activity, 150 minutes per week, adult (18 years and over)","High 95% confidence interval, number of persons",Number,4222600
2015,Canada,35 to 49 years,Both sexes,Breast milk feeding initiation,"Low 95% confidence interval, number of persons",Number,400000
2015,Canada,35 to 49 years,Both sexes,Breast milk feeding initiation,"High 95% confidence interval, number of persons",Number,495100
2015,Canada,35 to 49 years,Both sexes,"Exclusive breastfeeding, at least 6 months","Low 95% confidence interval, number of persons",Number,130000
2015,Canada,35 to 49 years,Both sexes,"Exclusive breastfeeding, at least 6 months","High 95% confidence interval, number of persons",Number,183500
2015,Canada,35 to 49 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","Low 95% confidence interval, number of persons",Number,2140600
2015,Canada,35 to 49 years,Both sexes,"Fruit and vegetable consumption, 5 times or more per day","High 95% confidence interval, number of persons",Number,2341600
2015,Canada,35 to 49 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","Low 95% confidence interval, number of persons",Number,4472600
2015,Canada,35 to 49 years,Both sexes,"Sense of belonging to local community, somewhat strong or very strong","High 95% confidence interval, number of persons",Number,4680100
2015,Canada,35 to 49 years,Both sexes,"Life satisfaction, satisfied or very satisfied","Low 95% confidence interval, number of persons",Number,6389600
2015,Canada,35 to 49 years,Both sexes,"Life satisfaction, satisfied or very satisfied","High 95% confidence interval, number of persons",Number,6510500
2015,Canada,35 to 49 years,Both sexes,Has a regular healthcare provider,"Low 95% confidence interval, number of persons",Number,5681000
2015,Canada,35 to 49 years,Both sexes,Has a regular healthcare provider,"High 95% confidence interval, number of persons",Number,5849700
2015,Canada,35 to 49 years,Both sexes,Contact with a medical doctor in the past 12 months,"Low 95% confidence interval, number of persons",Number,4934100
2015,Canada,35 to 49 years,Both sexes,Contact with a medical doctor in the past 12 months,"High 95% confidence interval, number of persons",Number,5131200
2015,Canada,35 to 49 years,Both sexes,Influenza immunization in the past 12 months,"Low 95% confidence interval, number of persons",Number,1657800
2015,Canada,35 to 49 years,Both sexes,Influenza immunization in the past 12 months,"High 95% confidence interval, number of persons",Number,1848400
2015,Canada,35 to 49 years,Both sexes,Influenza immunization in the past 12 months,Statistically different from previous reference period,Number,0
2015,Canada,50 to 64 years,Both sexes,"Perceived health, very good or excellent","Low 95% confidence interval, number of persons",Number,4197300
2015,Canada,50 to 64 years,Both sexes,"Perceived health, very good or excellent","High 95% confidence interval, number of persons",Number,4406100
2015,Canada,50 to 64 years,Both sexes,"Perceived health, fair or poor","Low 95% confidence interval, number of persons",Number,910600
2015,Canada,50 to 64 years,Both sexes,"Perceived health, fair or poor","High 95% confidence interval, number of persons",Number,1052000
2015,Canada,50 to 64 years,Both sexes,"Perceived mental health, very good or excellent","Low 95% confidence interval, number of persons",Number,5204800
2015,Canada,50 to 64 years,Both sexes,"Perceived mental health, very good or excellent","High 95% confidence interval, number of persons",Number,5402000
2015,Canada,50 to 64 years,Both sexes,"Perceived mental health, fair or poor","Low 95% confidence interval, number of persons",Number,406200
2015,Canada,50 to 64 years,Both sexes,"Perceived mental health, fair or poor","High 95% confidence interval, number of persons",Number,507100
2015,Canada,50 to 64 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","Low 95% confidence interval, number of persons",Number,1662700
2015,Canada,50 to 64 years,Both sexes,"Perceived life stress, most days quite a bit or extremely stressful","High 95% confidence interval, number of persons",Number,1851800
2015,Canada,50 to 64 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","Low 95% confidence interval, number of persons",Number,2640900
2015,Canada,50 to 64 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), overweight","High 95% confidence interval, number of persons",Number,2858400
2015,Canada,50 to 64 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","Low 95% confidence interval, number of persons",Number,2194300
2015,Canada,50 to 64 years,Both sexes,"Body mass index, adjusted self-reported, adult (18 years and over), obese","High 95% confidence interval, number of persons",Number,2386000
2015,Canada,50 to 64 years,Both sexes,Arthritis (15 years and over),"Low 95% confidence interval, number of persons",Number,2084600
2015,Canada,50 to 64 years,Both sexes,Arthritis (15 years and over),"High 95% confidence interval, number of persons",Number,2272800
2015,Canada,50 to 64 years,Both sexes,Diabetes,"Low 95% confidence interval, number of persons",Number,652500
2015,Canada,50 to 64 years,Both sexes,Diabetes,"High 95% confidence interval, number of persons",Number,776800
2015,Canada,50 to 64 years,Both sexes,Asthma,"Low 95% confidence interval, number of persons",Number,542500
2015,Canada,50 to 64 years,Both sexes,Asthma,"High 95% confidence interval, number of persons",Number,669000
2015,Canada,50 to 64 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"Low 95% confidence interval, number of persons",Number,314600
2015,Canada,50 to 64 years,Both sexes,Chronic obstructive pulmonary disease (COPD; 35 years and over),"High 95% confidence interval, number of persons",Number,400900
2015,Canada,50 to 64 years,Both sexes,High blood pressure,"Low 95% confidence interval, number of persons",Number,1684600
